Latency	Type	Position
1	target	3
1501	target	4
3001	target	7
4501	target	6
6001	target	5
7501	target	1
9001	target	2
10501	target	1
12001	target	2
13501	target	7
15001	target	6
16501	target	5
18001	target	4
19501	target	3
21001	target	6
22501	target	1
24001	target	5
25501	target	7
27001	target	2
28501	target	4
30001	target	3
31501	target	3
33001	target	2
34501	target	6
36001	target	5
37501	target	7
39001	target	1
40501	target	4
42001	target	5
43501	target	3
45001	target	7
46501	target	4
48001	target	6
49501	target	2
51001	target	1
52501	target	1
54001	target	3
55501	target	2
57001	target	6
58501	target	4
60001	target	7
61501	target	5
63001	target	1
64501	target	3
66001	target	2
67501	target	5
69001	target	6
70501	target	7
72001	target	4
73501	target	4
75001	target	3
76501	target	5
78001	target	7
79501	target	1
81001	target	6
82501	target	2
84001	target	4
85501	target	2
87001	target	1
88501	target	7
90001	target	3
91501	target	6
93001	target	5
94501	target	1
96001	target	5
97501	target	4
99001	target	7
100501	target	2
102001	target	3
103501	target	6
105001	target	7
106501	target	5
108001	target	4
109501	target	2
111001	target	1
112501	target	3
114001	target	6
115501	target	3
117001	target	5
118501	target	4
120001	target	7
121501	target	1
123001	target	6
124501	target	2
126001	target	3
127501	target	2
129001	target	4
130501	target	6
132001	target	5
133501	target	1
135001	target	7
136501	target	4
138001	target	7
139501	target	2
141001	target	6
142501	target	3
144001	target	1
145501	target	5
147001	target	2
148501	target	4
150001	target	1
151501	target	7
153001	target	3
154501	target	5
156001	target	6
157501	target	6
159001	target	1
160501	target	2
162001	target	7
163501	target	3
165001	target	5
166501	target	4
168001	target	5
169501	target	6
171001	target	3
172501	target	4
174001	target	2
175501	target	7
177001	target	1
178501	target	3
180001	target	1
181501	target	7
183001	target	6
184501	target	5
186001	target	2
187501	target	4
189001	target	1
190501	target	2
192001	target	7
193501	target	5
195001	target	4
196501	target	6
198001	target	3
199501	target	3
201001	target	2
202501	target	7
204001	target	4
205501	target	5
207001	target	6
208501	target	1
210001	target	6
211501	target	1
213001	target	2
214501	target	5
216001	target	3
217501	target	7
219001	target	4
220501	target	6
222001	target	3
223501	target	5
225001	target	7
226501	target	4
228001	target	1
229501	target	2
231001	target	5
232501	target	2
234001	target	7
235501	target	3
237001	target	6
238501	target	1
240001	target	4
241501	target	5
243001	target	2
244501	target	7
246001	target	3
247501	target	6
249001	target	1
250501	target	4
252001	target	1
253501	target	6
255001	target	3
256501	target	4
258001	target	2
259501	target	5
261001	target	7
262501	target	7
264001	target	3
265501	target	4
267001	target	5
268501	target	2
270001	target	6
271501	target	1
273001	target	3
274501	target	4
276001	target	6
277501	target	1
279001	target	7
280501	target	2
282001	target	5
283501	target	7
285001	target	2
286501	target	3
288001	target	5
289501	target	1
291001	target	4
292501	target	6
294001	target	2
295501	target	1
297001	target	4
298501	target	5
300001	target	3
301501	target	7
303001	target	6
304501	target	2
306001	target	1
307501	target	6
309001	target	5
310501	target	7
312001	target	3
313501	target	4
315001	target	7
316501	target	5
318001	target	1
319501	target	6
321001	target	3
322501	target	4
324001	target	2
325501	target	4
327001	target	7
328501	target	5
330001	target	6
331501	target	2
333001	target	3
334501	target	1
336001	target	4
337501	target	7
339001	target	2
340501	target	3
342001	target	5
343501	target	6
345001	target	1
346501	target	3
348001	target	7
349501	target	4
351001	target	6
352501	target	2
354001	target	1
355501	target	5
357001	target	6
358501	target	7
360001	target	2
361501	target	3
363001	target	4
364501	target	5
366001	target	1
367501	target	1
369001	target	4
370501	target	2
372001	target	3
373501	target	5
375001	target	6
376501	target	7
378001	target	3
379501	target	6
381001	target	7
382501	target	1
384001	target	2
385501	target	5
387001	target	4
388501	target	3
390001	target	7
391501	target	4
393001	target	5
394501	target	6
396001	target	2
397501	target	1
399001	target	2
400501	target	7
402001	target	4
403501	target	1
405001	target	6
406501	target	5
408001	target	3
409501	target	1
411001	target	3
412501	target	2
414001	target	4
415501	target	5
417001	target	6
418501	target	7
420001	target	2
421501	target	4
423001	target	1
424501	target	7
426001	target	3
427501	target	5
429001	target	6
430501	target	4
432001	target	1
433501	target	7
435001	target	5
436501	target	2
438001	target	3
439501	target	6
441001	target	1
442501	target	4
444001	target	3
445501	target	7
447001	target	2
448501	target	6
450001	target	5
451501	target	3
453001	target	4
454501	target	6
456001	target	2
457501	target	1
459001	target	7
460501	target	5
462001	target	1
463501	target	3
465001	target	6
466501	target	5
468001	target	4
469501	target	2
471001	target	7
472501	target	2
474001	target	1
475501	target	7
477001	target	6
478501	target	4
480001	target	3
481501	target	5
483001	target	7
484501	target	5
486001	target	3
487501	target	6
489001	target	1
490501	target	4
492001	target	2
493501	target	7
495001	target	1
496501	target	3
498001	target	6
499501	target	2
501001	target	4
502501	target	5
504001	target	4
505501	target	1
507001	target	3
508501	target	5
510001	target	2
511501	target	6
513001	target	7
514501	target	1
516001	target	4
517501	target	2
519001	target	7
520501	target	3
522001	target	6
523501	target	5
